Lat,Lon,Lat_Lon,County FIPS,County Name,Block FIPS,Block bbox,Block intersection FIPF1,Block intersection FIPF2
42.314438,-77.660164,"(42.314438, -77.660164)",36101,Steuben,361019608003011,"[-77.661376, 42.313006, -77.659821, 42.314613]",361019608003011,361019608004016
42.960537,-77.138863,"(42.960537, -77.138863)",36069,Ontario,360690503013018,"[-77.139756, 42.960465, -77.13876, 42.961494]",360690503013018,360690503013021
42.875027,-77.289818,"(42.875027, -77.289818)",36069,Ontario,360690510001012,"[-77.290197, 42.874941, -77.288975, 42.87582]",360690510001012,360690510003013
42.141293,-77.047562,"(42.141293, -77.047562)",36101,Steuben,361019627003002,"[-77.048977, 42.139715, -77.04456, 42.141542]",361019627003002,361019627001048
42.122921,-77.949974,"(42.122921, -77.949974)",36003,Allegany,360039507002035,"[-77.958506, 42.120905, -77.948646, 42.127538]",360039507002035,360039507002041
42.372952,-77.278656,"(42.372952, -77.278656)",36101,Steuben,361019614002101,"[-77.294922, 42.363159, -77.273601, 42.378161]",361019614002101,361019614002097
42.551964,-77.700195,"(42.551964, -77.700195)",36051,Livingston,360510314003014,"[-77.700885, 42.55162, -77.696704, 42.553952]",360510314003014,360510314003016
43.154659,-79.030556,"(43.154659, -79.030556)",36063,Niagara,360630244043019,"[-79.038449, 43.151543, -79.028675, 43.156326]",360630244043019,360630244043005
43.094048,-79.0504,"(43.094048, -79.0504)",36063,Niagara,360630212004007,"[-79.050522, 43.093103, -79.047368, 43.09478]",360630212004007,360630212002000
40.67794,-73.937515,"(40.67794, -73.937515)",36047,Kings,360470271001000,"[-73.938609, 40.677612, -73.935599, 40.679035]",,
40.753349,-73.706848,"(40.753349, -73.706848)",36081,Queens,360811551023000,"[-73.713731, 40.749474, -73.70542, 40.756216]",360811551023000,360811551023006
40.659435,-73.934036,"(40.659435, -73.934036)",36047,Kings,360470878002001,"[-73.934231, 40.658119, -73.93209, 40.660532]",360470878002001,360470876002000
40.689842,-73.977455,"(40.689842, -73.977455)",36047,Kings,360470031003000,"[-73.978947, 40.689622, -73.973126, 40.693438]",360470031003000,360470033002000
40.764386,-73.956812,"(40.764386, -73.956812)",36061,New York,360610116001004,"[-73.958321, 40.763667, -73.955616, 40.765242]",,
40.894569,-73.86142,"(40.894569, -73.86142)",36005,Bronx,360050435001035,"[-73.870148, 40.878129, -73.86136, 40.894812]",360050435001035,360050420001002
40.81435,-73.940506,"(40.81435, -73.940506)",36061,New York,360610212002001,"[-73.940855, 40.812748, -73.937144, 40.814774]",,
40.805912,-73.961639,"(40.805912, -73.961639)",36061,New York,360610201011002,"[-73.962008, 40.804706, -73.959826, 40.806136]",360610201011002,360610203002001
40.843609,-73.911545,"(40.843609, -73.911545)",36005,Bronx,360050227031004,"[-73.911949, 40.842948, -73.910367, 40.8439]",,
40.728745,-73.851036,"(40.728745, -73.851036)",36081,Queens,360810713042001,"[-73.852175, 40.728478, -73.850879, 40.729611]",360810713042001,360810713042002
40.929512,-73.896957,"(40.929512, -73.896957)",36119,Westchester,361190003003007,"[-73.90059, 40.928827, -73.896463, 40.932018]",361190003003007,361190003003006
41.08773,-73.803993,"(41.08773, -73.803993)",36119,Westchester,361199810001032,"[-73.808198, 41.087157, -73.803912, 41.090168]",361199810001032,361199810001033
41.014721,-73.862259,"(41.014721, -73.862259)",36119,Westchester,361190105003002,"[-73.862737, 41.013172, -73.859499, 41.014916]",361190105003002,361190104001017
41.694523,-73.935799,"(41.694523, -73.935799)",36027,Dutchess,360272207001016,"[-73.937522, 41.691915, -73.933959, 41.695877]",360272207001016,360272207002002
42.940811,-76.564758,"(42.940811, -76.564758)",36011,Cayuga,360110414002008,"[-76.566912, 42.940697, -76.562665, 42.942499]",360110414002008,360110414003003
42.609051,-76.186195,"(42.609051, -76.186195)",36023,Cortland,360239707005012,"[-76.188995, 42.608257, -76.18606, 42.609436]",360239707005012,360239705002003
40.700535,-73.941711,"(40.700535, -73.941711)",36047,Kings,360470285011000,"[-73.944388, 40.699699, -73.941149, 40.700725]",360470285011000,360470389001003
42.469826,-76.536896,"(42.469826, -76.536896)",36109,Tompkins,361090009003013,"[-76.547793, 42.467045, -76.52913, 42.480159]",,
42.875748,-76.987427,"(42.875748, -76.987427)",36069,Ontario,360690517001004,"[-76.993711, 42.875682, -76.983984, 42.883554]",360690517001004,360690518001004
42.099285,-76.826782,"(42.099285, -76.826782)",36015,Chemung,360150004001011,"[-76.831428, 42.09873, -76.825279, 42.103022]",360150004001011,360150004003014
42.091446,-76.79686,"(42.091446, -76.79686)",36015,Chemung,360150007003004,"[-76.799803, 42.090769, -76.79566, 42.093347]",360150007003004,360150007003005
